nodeID1,nodeID2,TargetSize,Visible,Edge_ID,Distance
1,2,-1836.558,FALSE,1,24363.9
1,3,-2020.678,FALSE,2,23772.54
1,4,-4883.777,FALSE,3,23069.84
1,5,-5439.088,FALSE,4,20932.57
1,6,10,TRUE,5,10085.55
7,8,-4246.99,FALSE,6,23765.98
7,9,-4362.504,FALSE,7,24231.2
7,10,-368.213,FALSE,8,11753.61
7,11,-182.882,FALSE,9,4420.31
7,12,-135.961,FALSE,10,3895.01
7,13,10,TRUE,11,3940.08
7,14,10,TRUE,12,6594.69
7,15,-1501.998,FALSE,13,13253.71
7,16,-1107.709,FALSE,14,13586.37
7,17,-2981.253,FALSE,15,17681.68
7,18,-1340.344,FALSE,16,11550.29
7,19,-1405.472,FALSE,17,11315.31
7,20,-1920.425,FALSE,18,16560.24
7,21,-3568.701,FALSE,19,20936.1
7,22,-2403.482,FALSE,20,24404.85
7,23,-1336.161,FALSE,21,19462.39
7,24,-1587.659,FALSE,22,17698.31
7,25,-1005.342,FALSE,23,19185.19
7,26,-3.655,FALSE,24,15786.28
7,27,-569.33,FALSE,25,17482.07
7,28,10,TRUE,26,13166.58
7,29,-2884.298,FALSE,27,23610.84
7,30,-483.76,FALSE,28,14673.98
7,31,-1989.738,FALSE,29,16252.62
32,33,-597.944,FALSE,30,24167.47
32,34,-1265.031,FALSE,31,23035.1
32,35,-350.778,FALSE,32,20827.54
32,36,10,TRUE,33,18849.81
32,37,-1129.332,FALSE,34,24144.96
32,38,-648.002,FALSE,35,22223.35
32,39,-718.938,FALSE,36,21421.74
32,40,-240.5,FALSE,37,24451.93
32,41,10,TRUE,38,16780.64
32,42,10,TRUE,39,18660.61
32,43,10,TRUE,40,20986.51
32,44,-233.424,FALSE,41,14452.46
32,45,10,TRUE,42,6780.36
32,46,10,TRUE,43,13680.45
32,47,10,TRUE,44,14458.38
32,48,-269.941,FALSE,45,13059.47
49,50,-3594.354,FALSE,46,23018.78
49,51,-4178.865,FALSE,47,22501.64
49,52,-4307.36,FALSE,48,23506.66
49,53,-3412.148,FALSE,49,11739.53
49,54,-3000.196,FALSE,50,10896.63
49,55,-2994.792,FALSE,51,9471.65
49,56,-2122.039,FALSE,52,6852.62
49,57,-1969.52,FALSE,53,9732.72
49,58,-712.505,FALSE,54,12592.25
49,59,-1487.01,FALSE,55,16543.3
49,60,-1527.225,FALSE,56,17557.51
49,61,-1344.485,FALSE,57,21371.06
49,62,-1096.938,FALSE,58,10264.52
49,63,10,TRUE,59,18655.22
49,64,-778.368,FALSE,60,24224.99
49,65,-276.759,FALSE,61,5114.82
49,66,-654.36,FALSE,62,15412.33
49,8,-3471.287,FALSE,63,10955.72
49,9,-3991.155,FALSE,64,11098.41
49,67,-96.601,FALSE,65,5427.68
49,68,-914.922,FALSE,66,6855.68
49,69,10,TRUE,67,907
49,70,0.537,TRUE,68,1536.85
49,71,-1983.186,FALSE,69,7069.39
