ID,Label,Waterway,Drainage_Type,Site,Aspect,Site_type,Direction,Source,Landscape_feature,Slope_in_Degrees,Rock_Formation,Elevation,Long,Lat,Distance
173,Idiya,Bhatiya Gad,Intermittent,Idiya,South,Fort,South,98,Saddle,25,Shali-Deoban,1738,78.158578,30.787503,63
174,Thadung,N/A,Seasonal,Thadung,South East,Fortalice,South,184,Saddle,25,Shali-Deoban,1635,78.093942,30.829344,53
175,Garhi_6,Banari Gad,Seasonal,Garhi_6,West,Fortalice,West,71,Saddle,25,"Damta, Simala, Chakrata, Saknidhar",1720,78.206106,30.622428,244
176,Dhama,Suswa Gad,Seasonal,Dhama,West,Fortalice,East,53,Other,15,Quaternary,850,78.039739,30.3228,1525
177,Nala,Song River,Seasonal,Nala,East,Fortalice,East,149,Ridge,15,Quaternary,945,78.098256,30.342686,1442
178,Ringal,Song River,Seasonal,Ringal,North west,Fortalice,West,170,Other,15,Quaternary,868,78.164292,30.254606,709
179,Shamser,Song River,Seasonal,Shamser,North East,Fortalice,East,176,Other,15,Quaternary,822,78.102458,30.272697,2005
180,Monila,Kalsrol Gad,Intermittent,Monila,East,Fortalice,North,143,Ridge,15,"Chaili, Ramgarh, Amri",1730,79.220244,29.722236,623
181,Butol,Banganga Gad,Seasonal,Butol,South East,Fortalice,West,35,Other,15,N/A,296,78.019519,29.890172,299
182,Nanor,Ganga River,Perennial,Nanor,East,Fortalice,East,150,Other,15,N/A,458,78.129269,29.891603,1171
183,Molya,Jalkul Gad,Seasonal,Molya,East,Fort,North,142,Ridge,30,Chandpur,1997,78.438725,30.472869,523
184,kaula,Nun Gad,Seasonal,kaula,South East,Fortalice,North,113,Other,15,Quaternary,936,78.008744,30.351889,150
185,Jagrath,Miyan Gad,Perennial,Jagrath,East,Fort,East,99,Ridge,25,"Jutogh, Almora",2021,78.073019,31.025489,1257
186,Hatadi,N/A,Intermittent,Hatadi,South West,Fortalice,South,93,Ridge,25,"Jutogh, Almora",2453,78.091856,31.046042,48
187,Hadari,Kanoli Gad,Seasonal,Hadari,East,Fortalice,North,90,Ridge,35,"Jutogh, Almora",2574,78.064642,31.076842,1549
188,Sankri,Tons River,Perennial,Sankri,South West,Fortalice,East,173,Isolated hill,15,"Jutogh, Almora",2938,78.184119,31.080958,573
189,Gon_1,Tons River,Perennial,Gon_1,South,Fortalice,South,83,Saddle,25,"Jutogh, Almora",3410,78.313625,31.107917,42
190,Surkhal,Kalichi Gad,Seasonal,Surkhal,North,Fortalice,South,180,Other,45,"Jutogh, Almora",2490,77.898306,31.0592,840
191,Nimga,Dara Gad,Perennial,Nimga,South,Fort,North,156,Isolated hill,15,Shali-Deoban,1698,77.862261,30.86175,711
192,Kothar,Dhanghat Gad,Intermittent,Kothar,North,Fortalice,South,124,Ridge,40,"Jutogh, Almora",3487,78.650064,30.916739,249
193,Garhtaang,Garhtang Gad,Seasonal,Garhtaang,North East,Fortalice,West,79,Ridge,30,Leucogranite,4172,78.902969,31.061678,1349
