x,y,area,mounded,volume,moud_vol,elev
584034.06,4061115,72375,,10588.75, , 
584111.23,4072121.5,32200,4225,4936.25,10467.25,2.48
584215.47,4071776.9,51550,12075,25950,17793.5,1.47
584256.72,4079231.4,88250,200,,474.7,2.37
584259.94,4089135.4,123650,24000,298450,145622.5,6.07
584398.39,4070974.8,20875,,2030.875, , 
584421.06,4055299.4,184525,7525,32185,18581.25,2.47
584444.95,4068013.3,7425,,2061.575, , 
584499.95,4072108.3,66825,2350,26312.5,4919.75,2.09
584603.95,4099009.8,84875,,, , 
584614.75,4096625.4,179425,32000,116517.5,115247.5,3.59
584697.91,4092100.9,113225,,2888, , 
584701.15,4069757.3,52725,10725,80795,39882.5,3.72
584709.49,4101668.1,55450,25,60815,95.65,3.83
584712.88,4111905.6,88650,9650,55517.5,24631.5,2.55
584889.95,4076018.3,7550,1250,435.7,2967.25,2.37
584908.54,4069106.4,494850,143750,758825,742375,5.17
584959.95,4064078.3,3825,,, , 
585039.95,4072333.3,54225,425,,861.55,2.03
585067.32,4101658.8,81700,75,,223.08,2.97
585129.04,4071159.9,65550,3350,37432.5,5677.25,1.69
585155.31,4115254.2,61625,8400,9575.25,22055.25,2.63
585197.13,4071711.4,12000,25,13464.25,49.0775,1.96
585208.24,4078376.7,35600,125,10865.75,287.1,2.3
585248.6,4080228.9,76925,17925,56147.5,43127.5,2.41
585279.18,4075059.7,59975,150,,518.125,3.45
585340.54,4072794.4,238075,43750,250275,190465,4.34
585347.49,4058335.8,49425,9700,49200,21757,2.24
585349.95,4100598.3,7700,300,10341.75,788.775,2.63
585418.55,4070047,62150,33750,160535,127475,3.78
585444.95,4072288.3,9900,2150,5601.25,3842.75,1.79
585460.04,4064534.4,85075,27500,237182.5,143862.5,5.23
585476.89,4056980.1,170100,13050,75622.5,61320,4.7
585513.27,4025353.3,189875,26000,168090,83725,3.23
585540.46,4071724.1,62250,700,19391,1851.25,2.64
585571.68,4065498.2,212775,70500,257950,281825,3.99
585597.62,4070658.8,54100,125,,220.825,1.77
585610.55,4118780.8,153325,24825,75527.5,53025,2.14
585627.85,4056689.4,47750,19350,85890,72740,3.76
585654.51,4060342.1,18250,,2829, , 
585654.95,4056543.3,79400,,, , 
585664.95,4072513.3,22450,325,,845.675,2.6
585719.95,4090023.3,7900,,3512.25, , 
585763.47,4075473.5,108625,31750,173330,120802.5,3.8
585807.8,4055635.1,421900,7975,,23021.75,2.89
585818.65,4101570.8,74750,,, , 
585828.04,4098210.9,134150,37500,135720,80822.5,2.15
585874.3,4113201.3,255600,8725,,22308.75,2.56
586060.31,4049143.3,31025,,959.875, , 
586185.53,4043813.3,136450,35250,153802.5,85410,2.42
586259.13,4076192.7,57975,900,,1683,1.87
586351.81,4072193.3,8400,1700,11729,3833.5,2.26
586377.54,4103312.1,299450,57250,292875,290025,5.07
586427.87,4062566,40975,,11780.5, , 
586474.95,4066278.3,7675,50,1999.1,85.5825,1.71
586478.55,4093076.3,103700,,122.9875, , 
586505.33,4069615.2,119850,17675,126677.5,61925,3.5
586524.02,4108310.6,198825,99250,645775,556900,5.61
586568.68,4068712,18775,450,3352.5,1088.15,2.42
586570.97,4104390,39575,7150,40482.5,15235,2.13
586606.53,4105367.4,76575,25500,111525,94367.5,3.7
586609.97,4068324.4,17650,,9480, , 
586671.33,4056703.7,109125,,10258.25, , 
586709.83,4113565.8,52750,425,26212.5,787.775,1.85
586717.64,4097270.2,92650,6400,40775,26667.5,4.17
586748.3,4095243.1,88725,3525,,20397.25,5.79
586759.12,4106045.7,154175,21975,47245,119015,5.42
586771.61,4104649.6,78525,18275,136750,68840,3.77
586777.75,4115867.6,12875,,8604.75, , 
586798.07,4069459.5,78575,1525,,5128.75,3.36
586810.27,4114981.6,160475,2450,119950,6192,2.53
586831.95,4056973.4,81100,7975,15088.75,23101.5,2.9
586877.28,4062902.2,67400,14450,64152.5,35817.5,2.48
586880.49,4071399.2,46500,2825,18941,7673.5,2.72
586894.95,4071343.3,70450,,, , 
586910.91,4071112,32750,575,16880.25,1362.2,2.37
586913.55,4104017.7,68525,1050,63422.5,3899.75,3.71
587025.17,4068704.9,66400,5400,20517.5,13234.25,2.45
587054.52,4075444.4,52400,15325,41435,33970,2.22
587098.34,4073968.9,48800,3625,31980,7480.5,2.06
587108.7,4068441.5,99150,23275,124970,67185,2.89
587117.08,4063329.1,64550,4675,32827.5,12078,2.58
587237.77,4042218.3,219375,6700,73500,34340,5.13
587246.23,4105355.1,33825,650,,1724.2,2.65
587353.08,4055366.5,123800,,, , 
587384.95,4103178.3,26075,,23779.75, , 
587487.63,4074188.7,54250,1075,,1661.9,1.55
587524.95,4067373.3,47075,2175,20119.5,4011.75,1.84
587575.52,4044165.9,99750,300,,531.6,1.77
587580.58,4070568.4,68800,2750,,5747,2.09
587635.65,4051328.3,93575,,24477.5, , 
587700.56,4050665.8,65825,3575,1444.55,8010.5,2.24
587757.76,4114000.6,95975,250,,517.275,2.07
587761.21,4102728.4,286075,50250,275775,214390,4.26
587771.99,4097648.5,62675,8475,74787.5,33305,3.93
587773.43,4067652,35625,10650,34535,27140,2.55
587867.51,4120541,19800,,12759.5, , 
587914.95,4067628.3,1700,,, , 
587959.11,4074825.6,38825,100,,220.57,2.21
587964,4069637.9,132125,900,,2525,2.81
587990.71,4120143.5,43825,1325,22296.5,3550,2.68
588065.32,4074969.1,71275,8975,59440,22467,2.5
588135.89,4064920.3,487025,155750,376125,419425,2.69
588154.57,4120664.4,191325,25,,219.96,8.8
588254.15,4067732.5,38300,1475,,3517.75,2.38
588259.95,4120853.3,3625,,, , 
588264.95,4077603.3,8025,,, , 
588293.31,4093047.4,84925,17500,96305,58895,3.37
588299.95,4063078.3,6900,525,686.7,1808.425,3.44
588323.97,4074965.3,46450,,, , 
588337.12,4064145.8,35125,75,1447.95,146.4875,1.95
588346.28,4056157.9,45300,2525,10844.5,6680.5,2.65
588419.95,4078058.3,7900,325,7691,964.275,2.97
588428.79,4065898.2,6100,,51.5975, , 
588442.46,4121028.9,219875,,, , 
588455.24,4070809.7,14600,,3025.75, , 
588497.83,4051143.3,265675,33750,175767.5,127822.5,3.78
588518.74,4063646.8,31550,2425,13225.75,6936,2.86
588560.71,4112807.1,54525,,15914.25, , 
588600.56,4067073.8,35275,,19360.5, , 
588726.25,4111561,140075,24725,99815,56215,2.27
588819.8,4120797.3,158550,,1748.775, , 
588847.01,4104998.3,111075,5350,,15691.5,2.93
588892.34,4093500.5,97100,11525,127405,35680,3.1
